2023-08-24 18:41:29.442 [info] [Info  - 6:41:29 PM] (12828) Pylance language server 2023.8.40 (pyright 03f79a81) starting
2023-08-24 18:41:29.444 [info] [Info  - 6:41:29 PM] (12828) Server root directory: /home/blackbird/.vscode/extensions/ms-python.vscode-pylance-2023.8.40/dist
2023-08-24 18:41:29.446 [info] [Info  - 6:41:29 PM] (12828) Starting service instance "Regression"
2023-08-24 18:41:29.499 [info] [Info  - 6:41:29 PM] (12828) Setting pythonPath for service "Regression": "/usr/bin/python3"
2023-08-24 18:41:29.502 [info] [Warn  - 6:41:29 PM] (12828) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-24 18:41:29.539 [info] [Info  - 6:41:29 PM] (12828) Assuming Python version 3.6
2023-08-24 18:41:32.416 [info] [Info  - 6:41:32 PM] (12828) Found 21130 source files
2023-08-24 18:41:32.500 [info] [Info  - 6:41:32 PM] (12828) Starting service instance "Regression"
2023-08-24 18:41:32.523 [info] [Info  - 6:41:32 PM] (12828) Setting pythonPath for service "Regression": "/home/blackbird/Documents/CodingProjects/Regression/envs/bin/python"
2023-08-24 18:41:32.524 [info] [Warn  - 6:41:32 PM] (12828) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-24 18:41:32.557 [info] [Info  - 6:41:32 PM] (12828) Assuming Python version 3.11
2023-08-24 18:41:36.091 [info] [Info  - 6:41:36 PM] (12828) Found 21218 source files
2023-08-24 18:41:42.424 [info] [Info  - 6:41:42 PM] (12828) [IDX(3)] Long operation: index execution environment /home/blackbird/Documents/CodingProjects/Regression (4583ms)
2023-08-24 18:41:42.462 [info] [Info  - 6:41:42 PM] (12828) [IDX(3)] Long operation: index packages /home/blackbird/Documents/CodingProjects/Regression (4624ms)
