2023-08-21 20:55:34.610 [info] [Info  - 8:55:34 PM] (12129) Pylance language server 2023.8.30 (pyright 634c8074) starting
2023-08-21 20:55:34.615 [info] [Info  - 8:55:34 PM] (12129) Server root directory: /home/blackbird/.vscode/extensions/ms-python.vscode-pylance-2023.8.30/dist
2023-08-21 20:55:34.615 [info] [Info  - 8:55:34 PM] (12129) Starting service instance "Regression"
2023-08-21 20:55:34.669 [info] [Info  - 8:55:34 PM] (12129) Setting pythonPath for service "Regression": "/usr/bin/python3"
2023-08-21 20:55:34.669 [info] [Warn  - 8:55:34 PM] (12129) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-21 20:55:34.699 [info] [Info  - 8:55:34 PM] (12129) Assuming Python version 3.6
2023-08-21 20:55:37.674 [info] [Info  - 8:55:37 PM] (12129) Found 18268 source files
2023-08-21 20:55:37.704 [info] [Info  - 8:55:37 PM] (12129) Starting service instance "Regression"
2023-08-21 20:55:37.730 [info] [Info  - 8:55:37 PM] (12129) Setting pythonPath for service "Regression": "/home/blackbird/Documents/CodingProjects/Regression/envs/bin/python"
2023-08-21 20:55:37.731 [info] [Warn  - 8:55:37 PM] (12129) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-21 20:55:37.774 [info] [Info  - 8:55:37 PM] (12129) Assuming Python version 3.11
2023-08-21 20:55:40.200 [info] [Info  - 8:55:40 PM] (12129) Found 18268 source files
2023-08-21 20:55:41.984 [info] [Info  - 8:55:41 PM] (12129) [BG(1)] Long operation: parsing: /home/blackbird/Documents/CodingProjects/Regression/envs/bin/wsdump.py (2373ms)
2023-08-21 20:55:41.984 [info] [Info  - 8:55:41 PM] (12129) [BG(1)] Long operation: indexing: /home/blackbird/Documents/CodingProjects/Regression/envs/bin/wsdump.py (2691ms)
2023-08-21 20:55:43.637 [info] [Info  - 8:55:43 PM] (12129) [BG(2)] Long operation: getSemanticTokens full at /home/blackbird/Documents/CodingProjects/Regression/boston.ipynb:pylance-notebook-cell:W4sZmlsZQ==.py (3386ms)
2023-08-21 20:55:46.538 [info] [Info  - 8:55:46 PM] (12129) [IDX(3)] Long operation: scan packages /home/blackbird/Documents/CodingProjects/Regression (5712ms)
2023-08-21 20:55:49.082 [info] [Info  - 8:55:49 PM] (12129) [IDX(3)] Long operation: index packages /home/blackbird/Documents/CodingProjects/Regression (2457ms)
