2023-08-24 23:44:44.607 [info] [Info  - 11:44:44 PM] (18800) Pylance language server 2023.8.40 (pyright 03f79a81) starting
2023-08-24 23:44:44.608 [info] [Info  - 11:44:44 PM] (18800) Server root directory: /home/blackbird/.vscode/extensions/ms-python.vscode-pylance-2023.8.40/dist
2023-08-24 23:44:44.609 [info] [Info  - 11:44:44 PM] (18800) Starting service instance "Regression"
2023-08-24 23:44:44.664 [info] [Info  - 11:44:44 PM] (18800) Setting pythonPath for service "Regression": "/usr/bin/python3"
2023-08-24 23:44:44.666 [info] [Warn  - 11:44:44 PM] (18800) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-24 23:44:44.710 [info] [Info  - 11:44:44 PM] (18800) Assuming Python version 3.6
2023-08-24 23:44:47.499 [info] [Info  - 11:44:47 PM] (18800) Found 21130 source files
2023-08-24 23:44:47.587 [info] [Info  - 11:44:47 PM] (18800) Starting service instance "Regression"
2023-08-24 23:44:47.611 [info] [Info  - 11:44:47 PM] (18800) Setting pythonPath for service "Regression": "/home/blackbird/Documents/CodingProjects/Regression/envs/bin/python"
2023-08-24 23:44:47.611 [info] [Warn  - 11:44:47 PM] (18800) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-24 23:44:47.654 [info] [Info  - 11:44:47 PM] (18800) Assuming Python version 3.11
2023-08-24 23:44:51.459 [info] [Info  - 11:44:51 PM] (18800) Found 21218 source files
2023-08-24 23:44:56.779 [info] [Info  - 11:44:56 PM] (18800) [IDX(3)] Long operation: index execution environment /home/blackbird/Documents/CodingProjects/Regression (3255ms)
2023-08-24 23:44:56.780 [info] [Info  - 11:44:56 PM] (18800) [IDX(3)] Long operation: index packages /home/blackbird/Documents/CodingProjects/Regression (3279ms)
