2023-08-23 17:28:30.503 [info] [Info  - 5:28:30 PM] (24950) Pylance language server 2023.8.30 (pyright 634c8074) starting
2023-08-23 17:28:30.504 [info] [Info  - 5:28:30 PM] (24950) Server root directory: /home/blackbird/.vscode/extensions/ms-python.vscode-pylance-2023.8.30/dist
2023-08-23 17:28:30.504 [info] [Info  - 5:28:30 PM] (24950) Starting service instance "Regression"
2023-08-23 17:28:30.558 [info] [Info  - 5:28:30 PM] (24950) Setting pythonPath for service "Regression": "/usr/bin/python3"
2023-08-23 17:28:30.559 [info] [Warn  - 5:28:30 PM] (24950) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-23 17:28:30.599 [info] [Info  - 5:28:30 PM] (24950) Assuming Python version 3.6
2023-08-23 17:28:33.750 [info] [Info  - 5:28:33 PM] (24950) Found 18268 source files
2023-08-23 17:28:33.773 [info] [Info  - 5:28:33 PM] (24950) Starting service instance "Regression"
2023-08-23 17:28:33.800 [info] [Info  - 5:28:33 PM] (24950) Setting pythonPath for service "Regression": "/home/blackbird/Documents/CodingProjects/Regression/envs/bin/python"
2023-08-23 17:28:33.801 [info] [Warn  - 5:28:33 PM] (24950) stubPath /home/blackbird/Documents/CodingProjects/Regression/typings is not a valid directory.
2023-08-23 17:28:33.828 [info] [Info  - 5:28:33 PM] (24950) Assuming Python version 3.11
2023-08-23 17:28:36.217 [info] [Info  - 5:28:36 PM] (24950) Found 18268 source files
2023-08-23 17:28:39.481 [info] [Info  - 5:28:39 PM] (24950) [BG(2)] Long operation: getSemanticTokens full at /home/blackbird/Documents/CodingProjects/Regression/boston.ipynb:pylance-notebook-cell:W4sZmlsZQ==.py (3130ms)
2023-08-23 17:28:40.628 [info] [Info  - 5:28:40 PM] (24950) [IDX(3)] Long operation: scan packages /home/blackbird/Documents/CodingProjects/Regression (3790ms)
2023-08-23 17:28:43.828 [info] [Info  - 5:28:43 PM] (24950) [IDX(3)] Long operation: index execution environment /home/blackbird/Documents/CodingProjects/Regression (2823ms)
2023-08-23 17:28:43.829 [info] [Info  - 5:28:43 PM] (24950) [IDX(3)] Long operation: index packages /home/blackbird/Documents/CodingProjects/Regression (3113ms)
2023-08-23 18:12:30.319 [info] [Info  - 6:12:30 PM] (24950) Found 21218 source files
2023-08-23 18:12:32.746 [info] [Info  - 6:12:32 PM] (24950) Found 21137 source files
2023-08-23 18:12:43.697 [info] [Info  - 6:12:43 PM] (24950) [IDX(4)] Long operation: index execution environment /home/blackbird/Documents/CodingProjects/Regression (4142ms)
2023-08-23 18:12:43.704 [info] [Info  - 6:12:43 PM] (24950) [IDX(4)] Long operation: index packages /home/blackbird/Documents/CodingProjects/Regression (4159ms)
